№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
1,Русские народные частушки.html,"Рано милый веселился, 
В рот не лезут пироги
Ты же знал, что Василиса – 
Внучка бабушки Яги!",4,ABAB,"['веселился', 'пироги', 'василиса', 'яги']",1.0
2,Русские народные частушки.html,"С горки ехала Иришка - 
Самой быстрою была; 
Ира даже свои лыжи 
По пути обогнала!",4,ABCB,"['иришка', 'была', 'лыжи', 'обогнала']",1.0
3,Русские народные частушки.html,"Сидит Ванька у ворот 
Широко разинув рот, 
А народ не разберет,
Где ворота, а где рот",4,ABCB,"['ворот', 'рот', 'разберет', 'рот']",1.0
4,Русские народные частушки.html,"Мышку в клетку я поймал 
И там запер крепко, 
Ведь без мышки не собрать 
В огороде репку",4,ABCB,"['поймал', 'крепко', 'собрать', 'репку']",1.0
5,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"А девки в озере купались, 
хуй резиновый нашли 
Целый день они ебались, 
даже в школу не пошли!",4,ABAB,"['купались', 'нашли', 'ебались', 'пошли']",1.0
6,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"На мосту стоял прохожий, 
на ебёна мать похожий, 
Вдруг, откуда ни возьмись, 
появился, в рот ебись!",4,AABB,"['прохожий', 'похожий', 'возьмись', 'ебись']",1.0
7,Русские народные частушки.html,"Топну левой ногой, 
Топну правенькой, 
Все равно девчонки любят, 
Хоть я – маленький!",4,ABAB,"['ногой', 'правенькой', 'любят', 'маленький']",1.0
8,Русские народные частушки.html,"Гостям жарила котлеты - 
Получились пироги
Но никто не догадался, 
За минуту все смели!",4,ABCB,"['котлеты', 'пироги', 'догадался', 'смели']",1.0
9,Veselye-Russkie-chastushki.html,"На дворе стоит туман
Сушится пеленка
Вся любовь твоя обман, 
Окромя ребенка",4,ABAB,"['туман', 'пеленка', 'обман', 'ребенка']",1.0
10,Русские народные частушки.html,"Пожелать хотим влюбленным 
Честно в доме поделить — 
Кому мусор и посуда, 
А кому баклуши бить!",4,ABCB,"['влюбленным', 'поделить', 'посуда', 'бить']",1.0
11,Veselye-Russkie-chastushki.html,"У меня миленка два, 
Два и полагается, 
Один в армию пойдет, 
А другой останется",4,ABCB,"['два', 'полагается', 'пойдет', 'останется']",1.0
12,Русские народные частушки.html,"Я сидела на печи, 
Сторожила калачи
А за печкой мышки 
Сторожили пышки",4,AABB,"['печи', 'калачи', 'мышки', 'пышки']",1.0
